wav_filename,transcription_riva,transcription_deepspeech,transcription_aws,transcription_human1,annotator_1,gender_1,audio_language_1,audio_quality_1,additional_notes_1,annotation_id_1,transcription_human2,annotator_2,gender_2,audio_language_2,audio_quality_2,additional_notes_2,annotation_id_2,country,city,station,datetime
nigeria_lagos_NigeriaInfoLagos_2021-02-01T11.55.01_7.wav,graduate an undergraduate even as parents you can partner with us for your children so every 6 weeks you're building a great financial future for them ie how ,another graduate given as terence you can partly with those for your tired so every 6 weeks you being great and misrule for them that is ,graduate and undergraduate even as parents you can partner with us for your children so every 6 weeks you'll build a great financial future for them that is how,and do it another graduate even as parents you can partner with us for your children so every 6 weeks you're building great financial freedom for that that is how,2,Male,English,Okay,,514,a graduate an under graduate even as parents you can partner with us for your children so every 6 weeks you're building great financial future for them that is how,11,Male,English,Good,,159,Nigeria,Lagos,NigeriaInfoLagos,2021-02-01T11.55.01
south_africa_cape_town_CapeTalk_2021-02-12T14.00.01_14.wav,counting government says it will launch the rollout of south africa's vaccination program at the steve beco and charlotte mcleay academic hospitals the province has 224 public vaccination sites ,government has it all done the root of so africa's vaccination program at this these be and charlemagne academic hospitals the province has 2 ended in 20 4 public vaccination sites,party and government says it will launch the rollout of south africa's vaccination program at the steve biko and charlotte michalek academic hospitals the province has 220 for public vaccination sites,<trunc> government says it will launch the rollout south africa's vaccination program at the steve biko and charlotte maxeke academic hospitals the province has 224 public vaccination sites ,12,Male,English,Good,,205,<trunc> government says it will launch the roll out of south africa's vaccination programme at the steve biko and charlotte maxeke academic hospitals the province has 224 public vaccination sites,15,,,,,462,South Africa,Cape Town,CapeTalk,2021-02-12T14.00.01
kenya_nairobi_HBRRadio_2021-09-10T04.00.02_6.wav,all right today i wanna invite you to exhale man it's been a really stressful week for many of us,i do i want to invite you to exhale manipiare stressful week for many of us,all right today i want to invite you to exhale man it's been a really stressful week for many of us,all right today i want to invite you to exhale man  it has been a really stressful week for many of us,20,Male,English,Good,,625,all right today i want to invite you to exhale man it's been a really stressful week for many of us,2,Male,English,Good,,585,Kenya,Nairobi,HBRRadio,2021-09-10T04.00.02
nigeria_lagos_LagosTalks_2021-10-12T10.35.01_5.wav,and flour as well isn't a 100 percentage healthy for you hence the reason why you need to consume these in moderation yes it might ,and flowers while isn't a present healthy free hence the musical you need to continue these in moderation yes in my,um and flour as well isn't 100% healthy for you hence the reason why you need to consume these in moderation yes it might,hmmand flours well is not 100% healthy for you hence the reason why you need to consume this in moderation yes it might,10,Female,English,Good,,111,uh as long as it is 100% healthy for you hence the reason why you need to consume this in moderations yes in my,19,Female,English,Good,,484,Nigeria,Lagos,LagosTalks,2021-10-12T10.35.01
south_africa_cape_town_HeartFM_2021-09-20T15.00.01_13.wav,straight away as he walked to the grease russell picking up that wicket as i say 50 excuse me 60 for 4 they are currently also of course there's an update in terms of the rugby rankings and south africa now slipped out of the top spot there are now number 2 that following the weekend's action,straight away as he would to the cries a rustle picking up that wicked or as i say 50 asininity for 4 they are currently as of course there is an updating terms of the red braking antonelli the weekends action,uh straight away as he walked to the grease russell picking up that wicket as i say 50 excuse me 64 4 they are currently also of course there's an update in terms of the the rugby rankings and south africa now slip out of the top spot there now number 2 that following the weekend's action,straight away as he walked to the crease russel picking up that cricket as they say 50 scuse me 60 for 4 they are currently also of course there is updating terms of the rugby rankings and south africans are slipped out of the top spot they are now number 2 that following the weekend's actions,2,Male,English,Okay,,54,uh straight away as the <unknown> the greece russel picking up that cricket as a safe 50 e excuse me 604 they are currently also of the course of updating terms of the rugby ranking and south african ousted the host of the top sport <unknown> number 2 falling the weekend action ,16,Male,English,Bad,,494,South Africa,Cape Town,HeartFM,2021-09-20T15.00.01
south_africa_cape_town_HeartFM_2021-09-20T15.00.01_4.wav,side effects it's widely accepted that minor reactions like headaches and general body pains quite common especially in the arm that you get the job but here in the province,side effects its widely accepted the minor actions like headaches and general body pains quite common especially in the arm that you get the job but here in the proven,side effects it's widely accepted that minor reactions like headaches and general body pains are quite common especially in the arm that you get the jab but here in the province,side effects it's widely accepted that minor reactions like headaches and general body pains are quite common especially in the arm that you get the jab but here in the province,2,Female,English,Good,,146,<trunc> side effects it's widely accepted that minor reactions like headaches and general body pains quite common especially in the arm that you get the jab but here in the province,16,Female,English,Okay,,491,South Africa,Cape Town,HeartFM,2021-09-20T15.00.01
south_africa_cape_town_CapeTalk_2021-09-11T05.50.01_11.wav,saying something that isn't so and therefore and wanting somebody to behave in a way that isn't authentic and therefore,something that isn't so and there and wanting somebody to behave in a way that isn't authentic and therefore ,saying something that isn't so and they're wanting somebody to behave in a way that isn't authentic and therefore um,saying something that isn't so and <unknown> wanting somebody to behave in a way that isn't authentic and therefore um,15,Female,English,Good,,315,saying something that isn't so and unwanting somebody to behave in a way that isn't authentic and therefore um,2,Female,English,Good,,170,South Africa,Cape Town,CapeTalk,2021-09-11T05.50.01
namibia_windhoek_EagleFM_2021-09-25T02.30.02_3.wav,is that you knowfor things to happen there must be a vision and a mission,and to me you know for things to happen they must be be ambition and mission,uh is that you know you know for things to happen there must be a vision and a mission,he uh you know for things to happen they must be efficient and <unknown>,11,Male,English,Okay,,191,haha uh you know uh you know for things to have the <unknown> be ambition and admission ,16,Male,English,Okay,,606,Namibia,Windhoek,EagleFM,2021-09-25T02.30.02
south_africa_cape_town_CapeTalk_2021-09-11T05.50.01_2.wav,ohand 1 of the favorite quotes i she i speak about is that toxic positivity is like a painkiller,and what of the favorite clothe an speak about his foxing positive it is lack of painkiller,are and 1 of the favorite quotes i i share i speak about is that toxic positivity is like a painkiller,are and 1 of the favorite quotes i i i share you i speak about is that toxic positivity is like a pain killer,15,,,,,357,and 1 of my favorite quotes i shield i speak about is that toxic positivity is like a painkiller,1,,,,,19,South Africa,Cape Town,CapeTalk,2021-09-11T05.50.01
namibia_windhoek_EagleFM_2021-01-27T03.40.02_7.wav,789 ethiopian illegal immigrants their release was prompted following an official diplomatic meeting on monday between mag foy and the ethiopian president sally work as well as w ,7 100 and 8 and i nepean illegal immigrants they have released was prompted following an official diplomatic meeting on mine with an monopoly and ethiopian president sawhorse as old,789 ethiopian illegal immigrants they're released was prompted following an official diplomatic meeting on monday between margo fully and the ethiopian president sally work as well,789 ethiopian illegal immigrants their release was prompted following an official diplomatic meeting on monday between <unknown> and ethiopian president sahlework zewde,2,Male,English,Good,,519,789 ethiopian illegal immigrants their release was prompted following an official diplomatic meeting on monday between magufuli and ethiopian president sahlework zewde,2,Male,English,Good,,648,Namibia,Windhoek,EagleFM,2021-01-27T03.40.02
nigeria_abuja_WazobiaFM_2021-08-10T17.55.01_7.wav,um why do you have so many empty no packs in the kitchen take the po you want and leave my no pack so unless you don't want mommy to win some good,why do you have so many empty malpas and the kittens to want and my not alone do not money to in some good,mom why do you have so many empty now packs in the kitchen this who you want and leave my no pack so unless you don't want money to bring some goodies,oh why do you have so many <unknown> packs in the kitchen take the spoon you want and leave my <unknown> packs unless you don't want mommy to win some goodies,6,Female,English,Good,,404,mom why do you have so many <unknown> packs in the kitchen <unknown> who you want and leave my <unknown> packs o unless you don't want mommy to make some goodies,4,Female,English,Good,,133,Nigeria,Abuja,WazobiaFM,2021-08-10T17.55.01
namibia_windhoek_EagleFM_2021-06-07T03.45.01_0.wav,official said that men were deployed to secure populated areas in order to remove and bury bodies the authorities have declared 3 days of national morning ending monday night at 11:59 pm ,official say to that men were deployed to secure a populated areas in order to remove and bury bodies the other rites of declared 3 days of missioning and in london it at 11 50 9 p m,officials said that men were deployed to secure populated areas in order to remove and bury bodies the authorities have declared 3 days of national mourning ending monday night at 11:59 pm,ossa officials said that men were deployed it is secure populated areas in order to remove buried bodies the authorities have declared 3 days of national mourning ending the monday night at 1159 pm,10,Male,English,Good,,274,the officials said that men were deployed to secure populated areas in order to remove and bury bodies the authorities have declared 3 days of national mourning and on monday night at 11:59 pm,2,Male,English,Good,,667,Namibia,Windhoek,EagleFM,2021-06-07T03.45.01
namibia_windhoek_EagleFM_2021-01-27T03.40.02_16.wav,elijah said she received a request to pay 10 million naa which is $26000 ,a large say as she waived a request to pay 10 million are with us in 6 1000 years does,elijah said she received a request to pay 10 million naira which is $26000,<unknown> said she received the request to pay 10 million naira which is 26000 us dollars,10,Male,English,Okay,,286,a <unknown> said she received a request to pay 10 million naira which is 26 1000 us dollars,2,Male,English,Good,,657,Namibia,Windhoek,EagleFM,2021-01-27T03.40.02
south_africa_cape_town_HeartFM_2021-09-20T15.00.01_0.wav,are our friends at sipp an amazing product that they have in case you haven't heard of it yet it's called bron boosters,friends and simple and the amazing product that they have in case you haven't heard of it yet it can broncoes,our friends at simpler an amazing product that they have in case you haven't heard of it yet it's called bronchi boosters,<trunc> a friends at sublet and the amazing product that they have in case you haven't heard of it yet it's called broncy boosters,15,"{""choices"": [""Male"", ""Other""]}",English,Bad,,308,<trunc> our friends in <unknown> an amazing product that they have in case you haven't heard of it yet it's called broncy boosters,2,Male,English,Okay,,166,South Africa,Cape Town,HeartFM,2021-09-20T15.00.01
namibia_windhoek_EagleFM_2021-02-18T00.15.01_4.wav,um can you take us through justum you know the connection with the utah and a kidney because i want i want us to lead into talking about what what are kidney function tests that's also something that i've read,can you take us to do just you know the connection with the u and e kidney because i want to lead into talking about what are kidney function tis that's also something that i read,um can you take us through just um you know the connection with the utah and a kidney because i want i want us to lead into talking about what what are kidney function tests that's also something that i've read,um can you take us to do just um you know the connection with the <unknown> kidney because i want us you led to talking about why what are kidney function test that also something there are bred,10,Female,English,Good,,277,um can you take us through just um you know the connections with the uti and the kidney because i want us to lead into talking  about what are kidney function tips that is also something that i read ,2,Female,English,Okay,,666,Namibia,Windhoek,EagleFM,2021-02-18T00.15.01
nigeria_abeokuta_OgunRadioFM_2021-09-03T11.05.01_7.wav,soul sahan hasan has confronted a member of parliament from her own ruling party who is known for his opposition to covid vaccines,some has as far fronted a member element from her old ling party was now for his opposition to covet faces,sami rasouli sirhan's hassan has confronted a member of parliament from our own ruling party who is known for his opposition to covid vaccines,samia suluhu hasan has confronted a member of parliament from her own ruling party who is known for his opposition to covid vaccines,16,Female,English,Okay,,568,<unknown> has confronted <unknown> party with non<unknown> opposition to covid vaccine,1,Female,English,Bad,,115,Nigeria,Abeokuta,OgunRadioFM,2021-09-03T11.05.01
namibia_windhoek_EagleFM_2021-01-27T03.40.02_3.wav,peace on the kenya somalia border is vital to regional stability that's according tok be,peace on the kings of malabar is by it out of reading as to relate that according to fakeer,peace on the kenya somalia border is vital to regional stability that's according to faqih there,peace on the kenyasomalia border is vital to regional stability that's according to <unknown>,2,Male,English,Good,,567,peace on the kenya somalia border is vital to regional stability  that is according to the faki there ,20,Male,English,Good,,644,Namibia,Windhoek,EagleFM,2021-01-27T03.40.02
nigeria_lagos_LagosTalks_2021-10-12T10.35.01_18.wav,some of the,some of,some of the,some of the,11,Female,English,Good,"chunk of full sentence, therefore I consider this as a noise",177,some of the,19,Female,English,Okay,,471,Nigeria,Lagos,LagosTalks,2021-10-12T10.35.01
south_africa_cape_town_CapeTalk_2021-02-12T14.00.01_9.wav,also to make sure that no stone is left untended in trying to resolve this matter and make sure,so to make sure that no stone is left untended in train to resolve this matter makes,also to make sure that no stone is left unturned in trying to resolve this matter make sure,also to make sure that no stone is left untended in time to resolve this matter make sure <trunc>,16,Male,English,Okay,,524,also to make sure that no stone is left unturned in trying to resolve this matter,12,Male,English,Good,Not Covid related,210,South Africa,Cape Town,CapeTalk,2021-02-12T14.00.01
kenya_nairobi_MeruFM_2021-09-05T15.40.01_0.wav,the ups store is all inks printing for your small business saving you time for everything else the ups store every inc for small business all in 1 place the ups store the ups store locations are independently owned product services pricing hours may very see center for details,the ups or is all as printing for your small business saving you time for every thing else the ups door every in re small business all in 1 place he the astor pious or locations are independently own products services pricing now or me very sea sent for details ,the ups store does all inks printing for your small business saving you time for everything else the ups store everything for small business all in 1 place the ups store the ups store locations are independently owned products services pricing hours may vary c center for details,the ups store is all aims printing for your small business saving you time for everything else the ups store everything for small business all in 1 place the ups store the ups store locations are independently owned products services pricing and hours may vary see centers for details,2,Male,English,Okay,,582,the ups store is aids all the printing of your small business saving you time for everything else  the ups store every thing for small business all in 1 place  the ups storethe ups store locations are independently products  services and pricing may vary see centre for details ,20,"{""choices"": [""Male"", ""Female""]}",English,Good,,628,Kenya,Nairobi,MeruFM,2021-09-05T15.40.01
south_africa_durban_VumaFM_2021-02-03T04.00.01_7.wav,the ips le governor says this goes against what premier sza said about clean governance in the provincevery very,the if peace these governors says that this goes against what primus he says i alisanda out 10 governance in the province of friar,the ifp's governor says this goes against what premier begala said about clean governance in the province this is very serious,the <unknown> say this goes against what premier <pii> said about clean governance in the province this is very serious,1,,,,,7,the ifp's <unknown> governor says this goes against what premier sihle zikalala said about clean governance in the province this is very serious <trunc>,4,"{""choices"": [""Male"", ""Female""]}",English,Okay,,410,South Africa,Durban,VumaFM,2021-02-03T04.00.01
nigeria_abeokuta_OgunRadioFM_2021-09-03T11.05.01_16.wav,over hungary in budapest having been booked when they took a ke prior to the world cup qualifier,in hungary in budapest having been doomed when they took a new prior to the word come qualifier,0 win over hungary in budapest having been booed when they took a knee prior to the world cup qualifier,<unknown> win over hungary in budapest having been booed when they took a knee prior to world cup qualifier,4,Female,English,Good,,145,<unknown> over hungary in budapest having been <unknown> when they took a knee prior to the world's qualifier ,16,Female,English,Okay,,561,Nigeria,Abeokuta,OgunRadioFM,2021-09-03T11.05.01
kenya_nairobi_HBRRadio_2021-04-11T16.20.02_9.wav,just can't st,i,just kids,i just can't,2,Female,English,Okay,,600,i just can't ,20,Female,English,Okay,,554,Kenya,Nairobi,HBRRadio,2021-04-11T16.20.02
nigeria_lagos_LagosTalks_2021-10-12T10.35.01_9.wav,is needed for proper fluid balances while it's needed for nerve transmission and muscle contraction,need for proposed balances where it's needed for terrans mission and most contraction,this is needed for proper fleet balances well it's needed for nerve transmission and muscle contraction,this is needed for pop <unknown> free balance is well is needed for nerve transmission and muscle contraction,10,Female,English,Good,,103,this is needed for proper fluid balances while it is needed for nerve transmission and muscle contraction,19,Female,English,Good,,480,Nigeria,Lagos,LagosTalks,2021-10-12T10.35.01
namibia_windhoek_EagleFM_2021-01-27T03.40.02_12.wav,that's why we're getting there 7 children and an adult we kidnapped from an orphanage by a known criminals outside in niger's ca abuja polic subside,that's what he getting their 7 children and in a doubt waked nepotem an orphanage ban on criminals outside in a gericault if it,that's what we're getting their 7 children and an adult were kidnapped from an orphanage by unknown criminals outside in nigeria's capital abuja police have said,that's what we get in there 7 children and an adult were kidnapped from an orphanage where noncriminals outside in nigeria's capital abuja police have said,2,Male,English,Good,,653,that's what we're getting that 7 children and an adult were kidnapped from an orphanage where known criminals outside nigeria's capital abuja police have said,12,Male,English,Good,Not Covid Related,291,Namibia,Windhoek,EagleFM,2021-01-27T03.40.02
kenya_nairobi_HBRRadio_2021-01-01T06.00.01_1.wav,president duru kanata has loaded the efforts of the healthcare workers were leading the country in the fight against coronavirus the head of state has also praised security officers of stood toll to ensure the country is safe from both internal and external attacks on behalf of a grateful nation i wish to recognize and thank our healthcare workers our security forces for their exemplary courage and sacrifice during the continued covid 1 9 pandemic majority of canons want the government to address the rising cases of unemployment the high cost of living and lack of access to better health care in 2021 a survey conducted by info struct shows 27 % of persons surveyed are hopeful the economy will improve in the new year idps living in kak ki village of malindi in kili county are decrying a rise in malaria cases due to lack of mosquito nets the village which has more than 3000 inhabitants was established in 2018 by people who were displaced by floods from river sabaki and lost all their possessions the manchester united striker edson kavan has accepted the a's decision to ban him for 3 games for an instagram post made in november but was also quick to stress his innocence the 33 year old was handed the suspension along with 100000 pound fine and an order to undergo face to face education that continues in 60 s ,but in taking out her husband and the efforts of the health care workers were leading the country in the fight against couloirs they had of states also praised security offices of stood tall to ensure the country safe from both internal and external attacks on behalf of a great foundation i wish to recognize and frank a health care workers security forces for the exemption sentirent to address the rising cases of unemployment the high cost of leaving and lack of axes to better health care in twinty 20 1 as 1 conducted by invitations to antecedent percent of passions of adulthood will improve in the new year idealising in caucasia of mind in kilcatrine arising malaria cases due to lack of mosquitoes the village as more than prepositions in 2 1000 and 18 by people who displaced by floods from rivers bainrothe possessions the unjustest addison the recriminations,president kenyatta has loaded the efforts of the health care workers were leading the country in the fight against coronavirus the head of status also praised security officers who have stood tall to ensure the country is safe from both internal and external attacks on behalf of a grateful nation i wish to recognize and thank our health care workers are security forces for their exemplary courage and sacrifice during the continued covid19 pandemic majority of kenyans want the government to address the rising cases of unemployment the high cost of living and lack of access to better healthcare in 2021 a survey conducted by infrastructures 27% of persons surveyed a hopeful the economy will improve in the new year https living in kako kenny village of malindi in khalifa county are decrying a rise in malaria cases due to lack of mosquito nets the village which has more than 3000 inhabitants was established in 2018 by people who were displaced by floods from riverside baki and lost all their possessions the manchester united striker edinson cavani has accepted the decision to ban him for 3 games for an instagram post made in november but was also quick to stress his innocence the 33 year old 100 the suspension along with £100000 fine and an order to undergo face to face education that's the news in 60 seconds,kenyatta has lauded the efforts of the healthcare workers who are  leading the country in the  fight against coronavirus the head of the state has also praised security officers who stood tall to ensure the country is safe from both internal and external attacks  : 'on behalf of the great nation i wish to recognize and thank our healthcare workers our security forces for their exemplary courage and sacrifice during the continued covid 19 pandemic '' majority of kenyans want the government to address the case of rising unemployment the high cost of living and lack of access to better healthcare in 2021 a survey conducted by infotractions () 27% of persons  evade the hope that the economy will improve in the new year (name) living in (name) village of malindi in (kilify) county are decrying  the rising malaria cases due to lack of mosquito nets  the village which has  more than 3000 inhabitants was established in 2018 by people who are displaced from floods of the river sabaki and lost all their posessions  the mnachester united striker (ewin son  kawaney )has accepted the decision of fc to ban him for 3 games for an instagram post made in november but was also quick to stress his innocence the 33 year was handed the suspension along with a 100000 pound fine and an order to end the whole(or goal)  face to face education that is the news in 60 seconds ,20,Male,English,Good,,543,"as then to all <unknown> to has loaded the effort of the healthcare workers who are leading the country in the fight against corona virus the head of state has also praised security officers who has <unknown> told to ensure the country is safe from both internals and externals attacks""on behalf on a grateful nation i wish to recognize and thank our healthcare workers our security forces for their exemplary courage and sacrifice during the continued covid 19 pandemic""majority of kenyans wants the government to address their rising cases of unemployment the high cost of living in lack of access to better healthcare in 2021 a <unknown> conducted by infrastructures 27% of persons survey the hopeful the economy will improve in the new year <unknown> living in <unknown> village of malindi in kilifi county <unknown> a rising malaria cases du to lack of <unknown> internetthe villages who has more than 3010 habitants were established in 2018 by people who are displaced by flats for river sabaki and lost all theirs positionsthe manchester united striker edinson cavani has accepted the <unknown> decision to ban him for 3 games while instagram post made in november but also quick to stress his innocencethe 33 years old ended his suspension along with a 100 000 pounds fund and an order to undergo facetoface educationthat's news in 60 seconds",1,Male,English,Good,,367,Kenya,Nairobi,HBRRadio,2021-01-01T06.00.01
south_africa_cape_town_CapeTalk_2021-02-12T14.00.01_10.wav,that those who are guilty are convicted the accused have been released on bail of a 1000 ran each and the matter has been postponed to 5 march to allow for other suspects to appear in court premier asks mabank and will communicate his position at a later stage kevin bron eyewitness news ,those court are convicted the accused to be released on bail of a 1000 round each in the matters been posponed to the fifth of march to allow for other suspects to appear in court premium of any state i noted the charges against gobain will communicate his position at a later stage cavern in with presses,that those who are guilty are convicted the accused have been released on bail of 1000 rand each and the matter has been postponed to the fifth of march to allow for other suspects to appear in court premier oscar maybe on states he noted the charges against gamba and will communicate his position at the later stage kevin brand eyewitness news,that those who are guilty are convicted the accused have been released on bail of a 1000 rand each and the matter has been postponed to the 5th of march to allow for other suspects to appear in court premier <unknown> states he noted the charges against gomba and will communicate this position at a later stage kevin brand eyewitness news,12,Male,English,Good,Not Covid Related ,209,that those who are guilty are convicted the accused had been released on bail of a r1000 each in the matter being postponed to the 5th of march to allow for other suspects to appear in court premier oscar mabuyane states that he noted the judges are against gomba and will communicate his position at the later stage <pii> with first news,16,Male,English,Good,,523,South Africa,Cape Town,CapeTalk,2021-02-12T14.00.01
nigeria_lagos_NigeriaInfoLagos_2021-02-01T11.55.01_3.wav,understand this secrets are the ones living large today you see them riding push cars living in good houses,the secret and the most living large to day you see them riding post cards leaning good houses ,to understand their secrets are the ones living large today you see them right in post cars living in good houses,you understand the secret of the ones living large today you see them writing postcards living in good houses huh,11,"{""choices"": [""Male"", ""Female""]}",English,Good,,163,people who understand this secretes are the 1 living good lives today you see them riding posh cars living in good houses,19,Male,English,Good,,467,Nigeria,Lagos,NigeriaInfoLagos,2021-02-01T11.55.01
south_africa_cape_town_HeartFM_2021-09-20T15.00.01_8.wav,economists believe that a rate hike may only happen next year considering the current hold on inflation,1 believe that a rate high may only happen next year considering the current hold an inflation,the economists believe that a rate hike may only happen next year considering the current hold on inflation,the economists believe that rate hike may only happen next year considering the current hold on inflation ,16,Female,English,Good,,487,the economist believed that a rate hike may only happen next year considering the current hold on inflation,2,Female,English,Good,,98,South Africa,Cape Town,HeartFM,2021-09-20T15.00.01
kenya_nairobi_HBRRadio_2021-04-11T16.20.02_1.wav,you act like we're in your kusama nairobi but time is on my side tick,you act like we in your case my nap but time is on my side take,you act like we're in tokushima nairobi but time is on my side take,you act like we are in the same as nairobi  but time is on my side tick ,20,Male,English,Good,,546,you act like we were <unknown> in nairobi but time is on my side tic,1,Male,English,Okay,,303,Kenya,Nairobi,HBRRadio,2021-04-11T16.20.02
nigeria_lagos_LagosTalks_2021-10-12T10.35.01_1.wav,you don't want in the bid because you want to the bid to increase a particular,now how do you get a mount of aliments of hatasu i gaetano me milk fresh fruits and vegetables,you don't want in the bid because you want to um the bid to increase a particular,you don't want in the bid because you want to um the bid to increase a particular,6,Female,English,Good,,389,you do not want in the bid because you want to hmm the bid to increase a particular,10,Female,English,Good,,153,Nigeria,Lagos,LagosTalks,2021-10-12T10.35.01
